objectName_markerName,X,Y,Z,localX,localY,localZ
trichecker3_112,14.0,10.8,1.0,1.0,0.2,0.0
trichecker3_113,14.0,11.2,1.0,1.0,0.3,0.0
trichecker3_114,14.0,11.6,1.0,1.0,0.4,0.0
trichecker3_115,14.0,12.0,1.0,1.0,0.5,0.0
trichecker3_116,14.0,12.4,1.0,1.0,0.6,0.0
trichecker3_117,14.0,12.8,1.0,1.0,0.7,0.0
trichecker3_118,14.0,13.2,1.0,1.0,0.8,0.0
trichecker3_119,14.0,13.6,1.0,1.0,0.9,0.0
trichecker3_120,14.0,14.0,1.0,1.0,1.0,0.0
trichecker3_121,10.0,10.0,1.0,0.0,0.0,0.0
trichecker3_122,10.0,10.0,1.4,0.0,0.0,0.1
trichecker3_123,10.0,10.0,1.8,0.0,0.0,0.2
trichecker3_124,10.0,10.0,2.2,0.0,0.0,0.3
trichecker3_125,10.0,10.0,2.6,0.0,0.0,0.4
trichecker3_126,10.0,10.0,3.0,0.0,0.0,0.5
trichecker3_127,10.0,10.0,3.4,0.0,0.0,0.6
trichecker3_128,10.0,10.0,3.8,0.0,0.0,0.7
trichecker3_129,10.0,10.0,4.2,0.0,0.0,0.8
trichecker3_130,10.0,10.0,4.6,0.0,0.0,0.9
trichecker3_131,10.0,10.0,5.0,0.0,0.0,1.0
trichecker3_132,10.4,10.0,1.0,0.1,0.0,0.0
trichecker3_133,10.4,10.0,1.4,0.1,0.0,0.1
trichecker3_134,10.4,10.0,1.8,0.1,0.0,0.2
trichecker3_135,10.4,10.0,2.2,0.1,0.0,0.3
trichecker3_136,10.4,10.0,2.6,0.1,0.0,0.4
trichecker3_137,10.4,10.0,3.0,0.1,0.0,0.5
trichecker3_138,10.4,10.0,3.4,0.1,0.0,0.6
trichecker3_139,10.4,10.0,3.8,0.1,0.0,0.7
trichecker3_140,10.4,10.0,4.2,0.1,0.0,0.8
trichecker3_141,10.4,10.0,4.6,0.1,0.0,0.9
trichecker3_142,10.4,10.0,5.0,0.1,0.0,1.0
